locus	cpg_label	gc_background	gc_peaks	gc_diff
chr19:19003144-19008145	Downstream Island	0.585	0.653	1.12
chr9:139918987-139923988	Downstream Island	0.629	0.633	1.01
chr12:6934227-6939228	Downstream Island	0.585	0.54	0.924
chr3:184298062-184303063	Downstream Island	0.601	0.587	0.976
chr12:50448071-50453072	Downstream Island	0.513	0.587	1.14
chr21:44070303-44075304	Downstream Island	0.575	0.64	1.11
chr17:79356986-79361987	Downstream Island	0.635	0.6	0.944
chr12:125047349-125052350	Downstream Island	0.496	0.7	1.41
chr1:40249174-40254175	Downstream Island	0.495	0.533	1.08
chr11:45682069-45687070	Downstream Island	0.543	0.5	0.92
chr22:41805237-41810238	Downstream Island	0.516	0.553	1.07
chr11:134277168-134282169	Downstream Island	0.562	0.6	1.07
chr22:37811478-37816479	Downstream Island	0.569	0.62	1.09
chr9:131150723-131155724	Downstream Island	0.562	0.573	1.02
chr1:7760116-7765117	Downstream Island	0.423	0.547	1.29
chr1:112277194-112282195	Downstream Island	0.437	0.587	1.34
chr1:160049819-160054820	Downstream Island	0.46	0.533	1.16
chr20:4799177-4804178	Downstream Island	0.453	0.6	1.33
chr11:119229688-119234689	Downstream Island	0.499	0.573	1.15
chr7:142980901-142985902	Downstream Island	0.513	0.513	1
chr19:30012776-30017777	Downstream Island	0.501	0.573	1.15
chr3:123163299-123168300	Downstream Island	0.464	0.607	1.31
chr7:140769410-140774411	Downstream Island	0.429	0.593	1.38
chr14:23831119-23836120	Downstream Island	0.461	0.6	1.3
chr16:19891720-19896721	Downstream Island	0.504	0.547	1.08
chr18:44332981-44337982	Downstream Island	0.482	0.52	1.08
chr1:145469976-145474977	Downstream Island	0.497	0.78	1.57
chr2:74664653-74669654	Downstream Island	0.464	0.64	1.38
chr3:123162743-123167744	Downstream Island	0.492	0.553	1.12
chr16:471967-476968	Downstream Island	0.522	0.507	0.971
chr2:27067519-27072520	Downstream Island	0.459	0.453	0.987
chr1:1358756-1363757	Downstream Island	0.519	0.7	1.35
chr15:74041583-74046584	Downstream Island	0.531	0.673	1.27
chr3:48466573-48471574	Downstream Island	0.601	0.62	1.03
chr5:176877952-176882953	Downstream Island	0.574	0.62	1.08
chr11:134278149-134283150	Downstream Island	0.597	0.533	0.894
chr2:241388104-241393105	Downstream Island	0.529	0.62	1.17
chr9:139435930-139440931	Downstream Island	0.601	0.627	1.04
chr19:19002634-19007635	Downstream Island	0.541	0.68	1.26
chr9:139918462-139923463	Downstream Island	0.623	0.64	1.03
chr20:35488035-35493036	Downstream Island	0.525	0.6	1.14
chr11:47203950-47208951	Downstream Island	0.604	0.693	1.15
chr9:135992679-135997680	Downstream Island	0.575	0.613	1.07
chr14:105776986-105781987	Downstream Island	0.521	0.613	1.18
chr11:133822547-133827548	Downstream Island	0.554	0.587	1.06
chr7:143055575-143060576	Downstream Island	0.529	0.533	1.01
chr1:111146090-111151091	Downstream Island	0.519	0.613	1.18
chr15:77921050-77926051	Downstream Island	0.504	0.66	1.31
chr17:80652460-80657461	Downstream Island	0.444	0.653	1.47
chr20:3384683-3389684	Downstream Island	0.43	0.527	1.22
chr17:76345259-76350260	Downstream Island	0.499	0.64	1.28
chr6:170572387-170577388	Downstream Island	0.512	0.633	1.24
chr1:41978353-41983354	Downstream Island	0.584	0.587	1
chr20:4149234-4154235	Downstream Island	0.503	0.487	0.968
chr14:78443637-78448638	Downstream Island	0.472	0.6	1.27
chr8:67413857-67418858	Downstream Island	0.449	0.54	1.2
chr20:58176458-58181459	Downstream Island	0.481	0.66	1.37
chr17:75443603-75448604	Downstream Island	0.482	0.66	1.37
chr11:70505490-70510491	Downstream Island	0.547	0.66	1.21
chr1:203094395-203099396	Downstream Island	0.541	0.68	1.26
chr16:88783301-88788302	Downstream Island	0.515	0.653	1.27
chr3:11031331-11036332	Downstream Island	0.436	0.62	1.42
chr3:51986898-51991899	Downstream Island	0.497	0.64	1.29
chr9:139832317-139837318	Downstream Island	0.529	0.567	1.07
chr19:57347212-57352213	Downstream Island	0.49	0.667	1.36
chr22:20775243-20780244	Downstream Island	0.5	0.66	1.32
chr2:95687647-95692648	Downstream Island	0.533	0.587	1.1
chr17:3435881-3440882	Downstream Island	0.543	0.647	1.19
chr5:141259828-141264829	Downstream Island	0.523	0.6	1.15
chr4:93222575-93227576	Downstream Island	0.347	0.753	2.17
chr13:25741097-25746098	Downstream Island	0.311	0.527	1.7
chr12:85302093-85307094	Downstream Island	0.313	0.567	1.81
chr2:193055754-193060755	Downstream Island	0.344	0.62	1.8
chr5:115905642-115910643	Downstream Island	0.382	0.64	1.68
chr8:1966873-1971874	Downstream Island	0.383	0.573	1.5
chr16:62065968-62070969	Downstream Island	0.375	0.56	1.49
chr1:160048788-160053789	Downstream Island	0.381	0.587	1.54
chr18:49863854-49868855	Downstream Island	0.411	0.58	1.41
chr6:146346309-146351310	Downstream Island	0.322	0.567	1.76
chr4:66531484-66536485	Downstream Island	0.331	0.56	1.69
chr6:163566762-163571763	Downstream Island	0.397	0.42	1.06
chr13:84450856-84455857	Downstream Island	0.387	0.547	1.41
chr8:114441875-114446876	Downstream Island	0.366	0.5	1.37
chr12:49624401-49629402	Downstream Island	0.44	0.613	1.39
chr22:41788154-41793155	Downstream Island	0.483	0.493	1.02
chr12:5015614-5020615	Downstream Island	0.447	0.687	1.54
chr8:127565468-127570469	Downstream Island	0.415	0.54	1.3
chr14:77587576-77592577	Downstream Island	0.451	0.6	1.33
chr17:72204694-72209695	Downstream Island	0.447	0.587	1.31
chr8:1967395-1972396	Downstream Island	0.417	0.607	1.46
chr22:46478467-46483468	Downstream Island	0.405	0.713	1.76
chr19:57346682-57351683	Downstream Island	0.455	0.627	1.38
chr6:43233974-43238975	Downstream Island	0.482	0.553	1.15
chrX:69662162-69667163	Downstream Island	0.437	0.6	1.37
chr9:131310984-131315985	Downstream Island	0.47	0.587	1.25
chr1:101001204-101006205	Downstream Island	0.399	0.547	1.37
chr10:70087998-70092999	Downstream Island	0.419	0.527	1.26
chr20:48527840-48532841	Downstream Island	0.486	0.48	0.988
chr5:72412135-72417136	Downstream Island	0.487	0.467	0.959
chr9:131786466-131791467	Downstream Island	0.535	0.633	1.18
chr9:130739238-130744239	Downstream Island	0.561	0.607	1.08
chr17:74703033-74708034	Downstream Island	0.505	0.527	1.04
chr5:171877505-171882506	Downstream Island	0.536	0.527	0.983
chr8:124549592-124554593	Downstream Island	0.449	0.52	1.16
chr12:106529215-106534216	Downstream Island	0.445	0.573	1.29
chr11:119230736-119235737	Downstream Island	0.489	0.533	1.09
chr21:33780877-33785878	Downstream Island	0.453	0.547	1.21
chr11:120431460-120436461	Downstream Island	0.501	0.553	1.1
chr8:26368395-26373396	Downstream Island	0.489	0.587	1.2
chr10:123353802-123358803	Downstream Island	0.429	0.5	1.16
chr8:133489383-133494384	Downstream Island	0.408	0.58	1.42
chr13:58202934-58207935	Downstream Island	0.499	0.547	1.1
chr9:130962029-130967030	Downstream Island	0.487	0.553	1.14
chr4:83715446-83720447	Downstream Island	0.515	0.467	0.907
chr8:26367596-26372597	Downstream Island	0.491	0.627	1.28
chr21:45583422-45588423	Downstream Island	0.637	0.64	1
chr1:1360086-1365087	Downstream Island	0.593	0.693	1.17
chr4:641925-646926	Downstream Island	0.581	0.68	1.17
chr1:155175247-155180248	Downstream Island	0.512	0.66	1.29
chr8:22010937-22015938	Downstream Island	0.559	0.633	1.13
chr11:45920942-45925943	Downstream Island	0.689	0.613	0.891
chr19:51015444-51020445	Downstream Island	0.62	0.653	1.05
chr16:2174109-2179110	Downstream Island	0.677	0.673	0.995
chr17:4434454-4439455	Downstream Island	0.592	0.62	1.05
chr1:1365565-1370566	Downstream Island	0.649	0.687	1.06
chr14:105162212-105167213	Downstream Island	0.631	0.587	0.929
chr19:11555248-11560249	Downstream Island	0.613	0.767	1.25
chr9:139917645-139922646	Downstream Island	0.643	0.693	1.08
chr1:1366288-1371289	Downstream Island	0.661	0.7	1.06
chrX:153029468-153034469	Downstream Island	0.669	0.553	0.828
chr14:103997696-104002697	Downstream Island	0.647	0.6	0.927
chr9:139869478-139874479	Downstream Island	0.647	0.64	0.989
chr17:4435545-4440546	Downstream Island	0.633	0.667	1.05
chrX:153028249-153033250	Downstream Island	0.618	0.66	1.07
chr19:1954813-1959814	Downstream Island	0.689	0.653	0.948
chr11:792654-797655	Downstream Island	0.647	0.613	0.948
chr1:1237722-1242723	Downstream Island	0.675	0.64	0.949
chr19:51015958-51020959	Downstream Island	0.617	0.7	1.14
chr13:114541207-114546208	Downstream Island	0.664	0.607	0.914
chr9:139874801-139879802	Downstream Island	0.626	0.64	1.02
chr7:45123586-45128587	Downstream Island	0.61	0.62	1.02
chr16:58532215-58537216	Downstream Island	0.597	0.653	1.09
chr9:139874264-139879265	Downstream Island	0.627	0.687	1.1
chr5:139037479-139042480	Downstream Island	0.578	0.613	1.06
chr9:138870436-138875437	Downstream Island	0.653	0.653	1
chr17:3433139-3438140	Downstream Island	0.562	0.607	1.08
chr14:103992108-103997109	Downstream Island	0.557	0.627	1.13
chr9:140030281-140035282	Downstream Island	0.605	0.627	1.04
chr6:99289800-99294801	Downstream Island	0.54	0.733	1.36
chr14:24040367-24045368	Downstream Island	0.588	0.58	0.986
chr8:1793334-1798335	Downstream Island	0.527	0.48	0.91
chr13:114799138-114804139	Downstream Island	0.574	0.64	1.11
chr3:183538144-183543145	Downstream Island	0.531	0.593	1.12
chr12:7032275-7037276	Downstream Island	0.509	0.5	0.983
chr16:67566896-67571897	Downstream Island	0.496	0.553	1.12
chr20:30156248-30161249	Downstream Island	0.549	0.693	1.26
chr12:6659901-6664902	Downstream Island	0.589	0.52	0.882
chr5:137823136-137828137	Downstream Island	0.515	0.633	1.23
chr17:42196330-42201331	Downstream Island	0.559	0.547	0.977
chr8:144906662-144911663	Downstream Island	0.595	0.567	0.953
chr10:105447779-105452780	Downstream Island	0.498	0.507	1.02
chr3:123162237-123167238	Downstream Island	0.506	0.453	0.896
chr9:100740955-100745956	Downstream Island	0.433	0.533	1.23
chr1:230999641-231004642	Downstream Island	0.477	0.44	0.923
chr16:19891212-19896213	Downstream Island	0.5	0.553	1.11
chr12:125343642-125348643	Downstream Island	0.462	0.633	1.37
chr3:13517058-13522059	Downstream Island	0.525	0.48	0.914
chr12:110313401-110318402	Downstream Island	0.457	0.54	1.18
chr1:230556706-230561707	Downstream Island	0.436	0.5	1.15
chr15:37386482-37391483	Downstream Island	0.494	0.513	1.04
chr21:44084648-44089649	Downstream Island	0.569	0.633	1.11
chr1:161168169-161173170	Downstream Island	0.572	0.62	1.08
chr1:109796445-109801446	Downstream Island	0.616	0.56	0.909
chr17:48913114-48918115	Downstream Island	0.613	0.54	0.88
chr5:149673045-149678046	Downstream Island	0.607	0.647	1.07
chr17:56604283-56609284	Downstream Island	0.561	0.62	1.1
chr17:36723593-36728594	Downstream Island	0.571	0.62	1.09
chr1:32164633-32169634	Downstream Island	0.557	0.607	1.09
chr18:34969312-34974313	Downstream Island	0.559	0.6	1.07
chr16:67913862-67918863	Downstream Island	0.611	0.607	0.993
chr3:48465514-48470515	Downstream Island	0.629	0.68	1.08
chr18:34970805-34975806	Downstream Island	0.575	0.553	0.963
chr16:1025045-1030046	Downstream Island	0.577	0.72	1.25
chr19:5034058-5039059	Downstream Island	0.566	0.7	1.24
chr2:127858824-127863825	Downstream Island	0.547	0.573	1.05
chr12:124851766-124856767	Downstream Island	0.583	0.707	1.21
chr7:150666789-150671790	Downstream Island	0.578	0.687	1.19
chr11:62686348-62691349	Downstream Island	0.553	0.64	1.16
chr17:37349078-37354079	Downstream Island	0.561	0.627	1.12
chr1:160063120-160068121	Downstream Island	0.539	0.64	1.19
chr19:5033511-5038512	Downstream Island	0.543	0.653	1.2
chr17:17723120-17728121	Downstream Island	0.575	0.573	0.998
chr11:119531733-119536734	Downstream Island	0.558	0.6	1.08
chr8:1760045-1765046	Downstream Island	0.579	0.507	0.876
chr7:75860915-75865916	Downstream Island	0.539	0.54	1
chr11:72458871-72463872	Downstream Island	0.511	0.653	1.28
chr1:201704568-201709569	Downstream Island	0.483	0.587	1.21
chr5:140867106-140872107	Downstream Island	0.482	0.547	1.13
chr19:8588212-8593213	Downstream Island	0.499	0.553	1.11
chr12:50294289-50299290	Downstream Island	0.532	0.547	1.03
chr16:67966377-67971378	Downstream Island	0.499	0.587	1.18
chr14:70652115-70657116	Downstream Island	0.459	0.66	1.44
chrX:70440431-70445432	Downstream Island	0.497	0.6	1.21
chr19:10335705-10340706	Downstream Island	0.498	0.653	1.31
chr7:127801690-127806691	Downstream Island	0.465	0.513	1.1
chr12:49956523-49961524	Downstream Island	0.539	0.547	1.01
chr3:13111385-13116386	Downstream Island	0.525	0.633	1.21
chr9:129464541-129469542	Downstream Island	0.581	0.62	1.07
chr10:133875617-133880618	Downstream Island	0.539	0.62	1.15
chr6:170593311-170598312	Downstream Island	0.572	0.667	1.17
chr10:80730119-80735120	Downstream Island	0.481	0.707	1.47
chr1:160035749-160040750	Downstream Island	0.493	0.64	1.3
chr2:16150924-16155925	Downstream Island	0.429	0.693	1.61
chr22:49839861-49844862	Downstream Island	0.548	0.62	1.13
chr8:1825999-1831000	Downstream Island	0.508	0.593	1.17
chr12:112618670-112623671	Downstream Island	0.439	0.493	1.12
chr11:1004460-1009461	Downstream Island	0.479	0.6	1.25
chr9:14342542-14347543	Downstream Island	0.455	0.593	1.3
chr17:73026794-73031795	Downstream Island	0.485	0.54	1.11
chr15:43799421-43804422	Downstream Island	0.472	0.52	1.1
chr10:133874608-133879609	Downstream Island	0.499	0.633	1.27
chr13:113405267-113410268	Downstream Island	0.501	0.593	1.19
chr1:2881193-2886194	Downstream Island	0.463	0.66	1.42
chr5:132155203-132160204	Downstream Island	0.519	0.52	1
chr10:3177237-3182238	Downstream Island	0.475	0.6	1.26
chr11:71141816-71146817	Downstream Island	0.488	0.573	1.17
chr18:46444853-46449854	Downstream Island	0.459	0.533	1.16
chr12:1751405-1756406	Downstream Island	0.497	0.493	0.992
chr1:112053845-112058846	Downstream Island	0.469	0.56	1.19
chr3:42723112-42728113	Downstream Island	0.438	0.54	1.23
chr1:41115830-41120831	Downstream Island	0.522	0.547	1.05
chr13:113697233-113702234	Downstream Island	0.524	0.727	1.39
chr21:34347327-34352328	Downstream Island	0.486	0.48	0.988
chr3:53874569-53879570	Downstream Island	0.447	0.473	1.06
chr6:166707200-166712201	Downstream Island	0.451	0.433	0.96
chr13:95356666-95361667	Downstream Island	0.508	0.487	0.958
chr6:3228749-3233750	Downstream Island	0.603	0.487	0.808
chr10:102751730-102756731	Downstream Island	0.509	0.567	1.11
chr8:27467101-27472102	Downstream Island	0.528	0.58	1.1
chr17:72265697-72270698	Downstream Island	0.498	0.553	1.11
chr8:141515912-141520913	Downstream Island	0.486	0.56	1.15
chr7:99674290-99679291	Downstream Island	0.477	0.48	1.01
chr9:112076332-112081333	Downstream Island	0.516	0.64	1.24
chr12:120238815-120243816	Downstream Island	0.435	0.587	1.35
chr1:145036596-145041597	Downstream Island	0.439	0.54	1.23
chr1:160036965-160041966	Downstream Island	0.547	0.573	1.05
chr1:43735427-43740428	Downstream Island	0.575	0.613	1.07
chr19:58909370-58914371	Downstream Island	0.54	0.613	1.14
chr4:154677921-154682922	Downstream Island	0.476	0.54	1.13
chr8:33453929-33458930	Downstream Island	0.503	0.553	1.1
chr3:181441279-181446280	Downstream Island	0.483	0.713	1.48
chr11:61270791-61275792	Downstream Island	0.504	0.593	1.18
chr16:85317348-85322349	Downstream Island	0.55	0.547	0.994
chr19:46500669-46505670	Downstream Island	0.517	0.627	1.21
chr12:11650454-11655455	Downstream Island	0.506	0.633	1.25
chr12:7031719-7036720	Downstream Island	0.51	0.593	1.16
chr15:99496235-99501236	Downstream Island	0.539	0.613	1.14
chr1:204155846-204160847	Downstream Island	0.488	0.507	1.04
chr16:70792334-70797335	Downstream Island	0.525	0.62	1.18
chr1:155942919-155947920	Downstream Island	0.506	0.593	1.17
chr1:209794514-209799515	Downstream Island	0.515	0.62	1.2
chr15:37387093-37392094	Downstream Island	0.551	0.487	0.883
chr5:87434185-87439186	Downstream Island	0.403	0.58	1.44
chr16:86562467-86567468	Downstream Island	0.497	0.653	1.32
chr17:4631604-4636605	Downstream Island	0.47	0.54	1.15
chr11:126283237-126288238	Downstream Island	0.587	0.553	0.942
chr1:181451524-181456525	Downstream Island	0.591	0.533	0.903
chr19:483393-488394	Downstream Island	0.586	0.667	1.14
chr11:61514562-61519563	Downstream Island	0.607	0.547	0.9
chr11:61515066-61520067	Downstream Island	0.609	0.707	1.16
chr15:89906000-89911001	Downstream Island	0.578	0.64	1.11
chr10:81199840-81204841	Downstream Island	0.531	0.667	1.25
chr5:140866198-140871199	Downstream Island	0.512	0.52	1.02
chr13:88323805-88328806	Downstream Island	0.662	0.453	0.685
chr10:122703276-122708277	Downstream Island	0.533	0.553	1.04
chr1:181452033-181457034	Downstream Island	0.526	0.567	1.08
chr8:65283276-65288277	Downstream Island	0.521	0.527	1.01
chr8:33452775-33457776	Downstream Island	0.505	0.553	1.1
chr19:11481946-11486947	Downstream Island	0.491	0.54	1.1
chr7:143577470-143582471	Downstream Island	0.423	0.707	1.67
chr7:143577983-143582984	Downstream Island	0.48	0.3	0.625
chr18:53253653-53258654	Downstream Island	0.439	0.36	0.821
chr4:105412283-105417284	Downstream Island	0.597	0.493	0.826
chr13:88323278-88328279	Downstream Island	0.653	0.54	0.827
chr19:3401696-3406697	Open Sea	0.506	0.613	1.21
chr22:45602399-45607400	Open Sea	0.543	0.613	1.13
chr1:204325628-204330629	Open Sea	0.471	0.547	1.16
chr2:231748216-231753217	Open Sea	0.413	0.54	1.31
chr18:5412741-5417742	Open Sea	0.372	0.487	1.31
chr7:86270723-86275724	Open Sea	0.407	0.627	1.54
chr12:71311100-71316101	Open Sea	0.401	0.493	1.23
chr17:66904009-66909010	Open Sea	0.382	0.54	1.41
chr3:195074492-195079493	Open Sea	0.407	0.567	1.39
chr13:90338921-90343922	Open Sea	0.389	0.487	1.25
chr2:163692105-163697106	Open Sea	0.413	0.38	0.92
chr11:121590320-121595321	Open Sea	0.423	0.533	1.26
chr6:98861566-98866567	Open Sea	0.399	0.44	1.1
chr12:74793913-74798914	Open Sea	0.361	0.373	1.03
chr4:96109781-96114782	Open Sea	0.47	0.553	1.18
chr10:99731499-99736500	Open Sea	0.465	0.587	1.26
chr15:43806624-43811625	Open Sea	0.5	0.5	1
chr1:20804497-20809498	Open Sea	0.453	0.553	1.22
chr5:142062576-142067577	Open Sea	0.449	0.547	1.22
chr18:13613320-13618321	Open Sea	0.433	0.473	1.09
chr15:58519388-58524389	Open Sea	0.396	0.467	1.18
chr1:201736926-201741927	Open Sea	0.408	0.467	1.14
chr5:78267568-78272569	Open Sea	0.407	0.513	1.26
chr1:201855251-201860252	Open Sea	0.498	0.693	1.39
chr8:143894756-143899757	Open Sea	0.503	0.613	1.22
chr18:77955835-77960836	Open Sea	0.449	0.56	1.25
chr8:1843234-1848235	Open Sea	0.438	0.58	1.32
chr11:73504645-73509646	Open Sea	0.486	0.66	1.36
chr11:82728544-82733545	Open Sea	0.447	0.627	1.4
chr15:40358934-40363935	Open Sea	0.447	0.667	1.49
chr8:27557653-27562654	Open Sea	0.394	0.6	1.52
chr5:14438639-14443640	Open Sea	0.424	0.72	1.7
chr2:163692622-163697623	Open Sea	0.387	0.573	1.48
chr11:121590840-121595841	Open Sea	0.383	0.58	1.51
chr1:109769850-109774851	Open Sea	0.423	0.493	1.17
chr11:12933806-12938807	Open Sea	0.427	0.673	1.58
chr5:60931924-60936925	Open Sea	0.424	0.547	1.29
chr1:214076338-214081339	Open Sea	0.418	0.693	1.66
chr8:27112236-27117237	Open Sea	0.435	0.567	1.3
chr18:32700520-32705521	Open Sea	0.409	0.633	1.55
chr18:46038779-46043780	Open Sea	0.442	0.647	1.46
chr11:17992252-17997253	Open Sea	0.437	0.56	1.28
chr12:54187449-54192450	Open Sea	0.425	0.553	1.3
chr13:52191992-52196993	Open Sea	0.395	0.607	1.54
chr2:149681409-149686410	Open Sea	0.418	0.58	1.39
chr3:116161795-116166796	Open Sea	0.387	0.64	1.65
chr10:13925218-13930219	Open Sea	0.425	0.54	1.27
chr2:133102484-133107485	Open Sea	0.367	0.573	1.56
chr8:61775365-61780366	Open Sea	0.405	0.64	1.58
chr15:26422742-26427743	Open Sea	0.407	0.587	1.44
chr14:25878806-25883807	Open Sea	0.422	0.547	1.3
chr15:59580180-59585181	Open Sea	0.409	0.56	1.37
chr5:54734848-54739849	Open Sea	0.382	0.533	1.4
chr8:67403282-67408283	Open Sea	0.393	0.573	1.46
chr13:85977300-85982301	Open Sea	0.342	0.527	1.54
chr6:163682962-163687963	Open Sea	0.397	0.567	1.43
chr5:87960623-87965624	Open Sea	0.367	0.42	1.15
chr13:45715284-45720285	Open Sea	0.404	0.56	1.39
chr14:102648324-102653325	Open Sea	0.401	0.56	1.4
chr1:164702184-164707185	Open Sea	0.381	0.413	1.08
chr6:148831987-148836988	Open Sea	0.383	0.56	1.46
chr3:194913921-194918922	Open Sea	0.38	0.647	1.7
chr21:41422538-41427539	Open Sea	0.417	0.467	1.12
chr9:124847397-124852398	Open Sea	0.407	0.493	1.21
chr5:54732609-54737610	Open Sea	0.377	0.513	1.36
chr9:129834500-129839501	Open Sea	0.385	0.493	1.28
chr9:97816020-97821021	Open Sea	0.4	0.567	1.42
chr12:27712153-27717154	Open Sea	0.423	0.54	1.28
chr9:13566952-13571953	Open Sea	0.395	0.58	1.47
chr13:57980946-57985947	Open Sea	0.368	0.507	1.38
chr8:62198004-62203005	Open Sea	0.368	0.54	1.47
chr12:26376864-26381865	Open Sea	0.382	0.513	1.34
chr18:55580808-55585809	Open Sea	0.387	0.553	1.43
chr1:102459584-102464585	Open Sea	0.287	0.547	1.9
chr9:2557277-2562278	Open Sea	0.352	0.5	1.42
chr3:192442347-192447348	Open Sea	0.364	0.58	1.59
chr7:137025234-137030235	Open Sea	0.361	0.533	1.48
chr6:152687744-152692745	Open Sea	0.384	0.493	1.28
chr4:114211458-114216459	Open Sea	0.361	0.527	1.46
chr20:52642763-52647764	Open Sea	0.399	0.567	1.42
chr4:54421917-54426918	Open Sea	0.406	0.56	1.38
chr3:114171186-114176187	Open Sea	0.358	0.527	1.47
chr18:53708569-53713570	Open Sea	0.356	0.533	1.5
chrX:28602059-28607060	Open Sea	0.384	0.613	1.6
chr3:21790076-21795077	Open Sea	0.347	0.653	1.88
chr4:114035466-114040467	Open Sea	0.35	0.513	1.47
chr6:46290898-46295899	Open Sea	0.382	0.547	1.43
chr12:101186102-101191103	Open Sea	0.346	0.533	1.54
chr7:14939879-14944880	Open Sea	0.342	0.56	1.64
chr6:128385891-128390892	Open Sea	0.319	0.493	1.55
chr18:22808536-22813537	Open Sea	0.338	0.5	1.48
chr3:98486639-98491640	Open Sea	0.329	0.373	1.14
chr7:35752192-35757193	Open Sea	0.364	0.513	1.41
chr3:148506381-148511382	Open Sea	0.364	0.48	1.32
chr5:146432659-146437660	Open Sea	0.38	0.547	1.44
chr3:173300441-173305442	Open Sea	0.334	0.567	1.7
chr5:19985879-19990880	Open Sea	0.363	0.68	1.87
chr1:61647455-61652456	Open Sea	0.346	0.56	1.62
chr3:192442979-192447980	Open Sea	0.362	0.547	1.51
chr5:82329352-82334353	Open Sea	0.354	0.533	1.51
chr3:191215202-191220203	Open Sea	0.343	0.607	1.77
chr5:58880963-58885964	Open Sea	0.342	0.6	1.75
chr12:71311957-71316958	Open Sea	0.349	0.68	1.95
chr1:244316253-244321254	Open Sea	0.359	0.64	1.78
chr1:75136896-75141897	Open Sea	0.367	0.7	1.9
chr15:32961880-32966881	Open Sea	0.41	0.6	1.46
chr14:36364653-36369654	Open Sea	0.353	0.6	1.7
chr12:45227449-45232450	Open Sea	0.405	0.453	1.12
chr11:75263263-75268264	Open Sea	0.453	0.693	1.53
chr2:25811694-25816695	Open Sea	0.415	0.62	1.49
chr2:380867-385868	Open Sea	0.46	0.607	1.32
chr19:46979349-46984350	Open Sea	0.466	0.513	1.1
chr17:20902814-20907815	Open Sea	0.533	0.587	1.1
chr11:113957265-113962266	Open Sea	0.488	0.593	1.21
chr6:159171246-159176247	Open Sea	0.499	0.62	1.24
chr7:66413457-66418458	Open Sea	0.447	0.507	1.13
chr1:243657155-243662156	Open Sea	0.471	0.68	1.44
chr1:201415827-201420828	Open Sea	0.488	0.613	1.26
chr14:102879725-102884726	Open Sea	0.489	0.633	1.29
chr22:45617790-45622791	Open Sea	0.502	0.52	1.04
chr1:204325013-204330014	Open Sea	0.469	0.573	1.22
chr9:117130971-117135972	Open Sea	0.512	0.62	1.21
chr2:99133274-99138275	Open Sea	0.457	0.527	1.15
chr22:23645729-23650730	Open Sea	0.491	0.54	1.1
chr2:60520415-60525416	Open Sea	0.438	0.5	1.14
chr14:65704305-65709306	Open Sea	0.443	0.547	1.23
chr21:45513431-45518432	Open Sea	0.427	0.567	1.33
chr13:49880037-49885038	Open Sea	0.463	0.567	1.22
chr5:179748628-179753629	Open Sea	0.452	0.473	1.05
chr5:65095050-65100051	Open Sea	0.457	0.34	0.745
chr6:110861249-110866250	Open Sea	0.445	0.54	1.21
chr10:98116312-98121313	Open Sea	0.48	0.607	1.26
chr20:33109923-33114924	Open Sea	0.49	0.487	0.993
chr17:76710639-76715640	Open Sea	0.457	0.6	1.31
chr3:56837973-56842974	Open Sea	0.461	0.5	1.09
chr13:110019306-110024307	Open Sea	0.468	0.507	1.08
chr6:3192507-3197508	Open Sea	0.477	0.54	1.13
chr17:76716120-76721121	Open Sea	0.488	0.62	1.27
chr22:24228712-24233713	Open Sea	0.466	0.553	1.19
chr18:13562881-13567882	Open Sea	0.457	0.7	1.53
chr20:61476515-61481516	Open Sea	0.464	0.547	1.18
chr14:65633883-65638884	Open Sea	0.456	0.44	0.966
chr8:125615294-125620295	Open Sea	0.456	0.72	1.58
chr1:228969890-228974891	Open Sea	0.481	0.52	1.08
chr8:139682354-139687355	Open Sea	0.468	0.487	1.04
chr5:132131099-132136100	Open Sea	0.483	0.533	1.1
chr21:34409559-34414560	Open Sea	0.47	0.607	1.29
chr5:142061870-142066871	Open Sea	0.493	0.587	1.19
chr18:13372440-13377441	Open Sea	0.465	0.58	1.25
chr20:10618035-10623036	Open Sea	0.426	0.547	1.28
chr2:9791387-9796388	Open Sea	0.472	0.373	0.791
chr7:51373761-51378762	Open Sea	0.496	0.433	0.874
chr11:48123587-48128588	Open Sea	0.464	0.407	0.877
chr18:13608675-13613676	Open Sea	0.463	0.547	1.18
chr12:97666747-97671748	Open Sea	0.437	0.62	1.42
chr8:53324091-53329092	Open Sea	0.418	0.747	1.79
chr12:16755508-16760509	Open Sea	0.426	0.6	1.41
chr20:4579974-4584975	Open Sea	0.402	0.633	1.58
chr2:2525037-2530038	Open Sea	0.434	0.493	1.14
chr4:53732061-53737062	Open Sea	0.448	0.58	1.29
chr1:52046887-52051888	Open Sea	0.432	0.54	1.25
chr11:4063982-4068983	Open Sea	0.43	0.493	1.15
chr5:137928791-137933792	Open Sea	0.474	0.567	1.2
chr9:19468730-19473731	Open Sea	0.45	0.473	1.05
chr14:29225968-29230969	Open Sea	0.442	0.633	1.43
chr11:126758159-126763160	Open Sea	0.449	0.58	1.29
chr9:87653407-87658408	Open Sea	0.433	0.533	1.23
chr15:64319037-64324038	Open Sea	0.456	0.593	1.3
chr5:95171395-95176396	Open Sea	0.468	0.567	1.21
chr5:173387839-173392840	Open Sea	0.421	0.46	1.09
chr4:76638061-76643062	Open Sea	0.434	0.453	1.05
chr6:38228131-38233132	Open Sea	0.411	0.42	1.02
chr3:170182500-170187501	Open Sea	0.409	0.58	1.42
